account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,area_code_area_code_415,area_code_area_code_510
97,1,0,0,236.9,107,105,13.4,241.0,120,2,1.97,0,1,0,1
28,0,0,0,168.2,87,92,13.74,192.4,112,3,2.73,3,0,1,0
120,0,0,0,180.0,80,82,19.06,265.4,91,7,1.27,3,0,1,0
80,0,1,33,189.4,109,68,12.64,208.9,119,4,3.02,1,1,1,0
100,0,0,0,239.1,96,110,15.31,259.2,112,2,3.78,0,0,0,0
119,0,1,26,132.0,100,121,14.73,203.5,108,5,3.13,1,0,0,0
129,0,1,34,204.5,79,113,11.29,190.1,117,9,4.0,2,0,1,0
41,0,0,0,143.6,117,108,12.95,194.4,110,3,2.32,1,0,1,0
111,0,1,21,127.1,94,116,19.41,166.7,108,3,1.92,1,0,1,0
62,0,0,0,245.3,91,130,10.45,228.4,102,4,2.3,4,0,1,0
87,0,1,48,178.8,91,106,20.98,262.4,119,8,2.43,1,0,0,0
147,0,0,0,248.6,83,85,12.66,172.5,109,4,2.16,3,0,0,1
88,1,0,0,132.9,132,82,17.7,260.5,42,11,3.89,2,1,0,0
99,0,0,0,145.6,106,106,8.36,230.8,83,5,2.94,1,0,1,0
51,0,0,0,227.2,89,106,16.52,243.4,126,2,4.02,0,0,0,1
86,0,0,0,234.6,102,109,22.81,195.6,102,4,3.13,1,1,1,0
87,0,0,0,198.3,80,89,15.9,133.5,96,4,4.48,2,0,1,0
215,0,0,0,83.6,148,91,10.28,226.6,110,9,2.89,0,0,0,1
39,0,1,36,141.7,121,113,19.75,222.1,131,5,3.24,1,0,1,0
100,0,0,0,113.3,96,89,16.82,284.5,93,2,3.16,4,1,1,0
47,0,1,28,196.2,88,106,16.56,243.0,103,10,2.84,0,0,1,0
67,0,0,0,284.5,104,71,7.53,171.4,93,4,3.38,1,0,1,0
168,0,0,0,160.6,110,120,15.74,120.2,104,4,2.46,1,1,1,0
73,0,1,6,237.6,105,98,20.82,188.3,107,11,1.84,4,0,0,1
133,1,0,0,127.3,108,81,21.36,135.0,88,3,2.78,1,0,0,1
164,0,0,0,192.1,95,94,21.23,132.6,100,3,1.97,3,0,0,1
137,0,0,0,137.5,102,98,14.96,210.6,88,6,2.81,0,0,1,0
119,0,0,0,107.2,100,100,18.79,212.6,96,3,2.24,2,0,0,1
102,0,0,0,200.6,106,127,12.96,199.4,128,2,2.08,3,0,0,0
107,0,1,32,134.2,101,145,18.01,167.6,138,5,2.21,1,0,1,0
145,0,0,0,189.3,113,92,17.31,218.3,103,3,3.83,5,0,1,0
46,0,0,0,250.3,100,90,22.15,195.0,104,2,3.59,2,1,0,1
56,0,0,0,225.9,52,69,20.57,144.5,68,3,3.16,0,0,1,0
37,0,0,0,233.7,114,109,17.67,212.7,101,2,3.24,2,0,1,0
67,0,0,0,167.8,91,69,14.25,110.3,71,12,2.27,1,0,0,0
77,0,0,0,215.5,81,100,14.53,170.3,59,3,2.78,1,0,1,0
108,1,1,36,153.8,105,62,20.93,150.9,125,4,3.0,1,0,0,1
138,0,0,0,54.8,123,76,12.54,173.6,119,1,3.11,1,0,0,1
116,1,0,0,232.2,98,91,20.8,151.3,69,1,2.86,7,1,0,0
58,0,1,20,194.5,110,89,18.16,236.6,92,2,2.57,1,0,0,0
107,1,0,0,234.1,91,105,13.86,282.5,100,3,2.7,1,0,0,1
95,0,0,0,197.0,88,68,16.18,211.9,104,8,4.35,0,0,1,0
